Nom du lieu,Catégorie,Statut,Adresse,URL Google Maps,Photos,Informations,Site web,Testé le,Latitude,Longitude
Le CiNey,"Cul'ture, Expériences",À faire,"126-128 Bd Ney, 75018 Paris",https://maps.app.goo.gl/ydvwAVaMfc69yCwu9,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGy2cMGHqsr181f5IasQCwzAtR6dYqovLCTz6wpfKN8K0T_oRp3o154lKSunrmIpiNLgyBT-L7fThSzbkNJkSWR5zRAdMGzZghbZSAVUhNtCkF_n9G1TXectaZwikwdwj6e5fLRMd77qrbl=w426-h240-k-no,Cinéma associatif,https://www.leciney.com/,,48.89806,2.340594
Centre Aquatique Arsenal,Divers,À faire,"43 Rue Voltaire, 92500 Rueil-Malmaison",https://maps.app.goo.gl/nLi4SxtE3vFJpfqe6,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFtijVbKhrMipJn5zvQEp8uPTst12XPwQgk9PHIchaELPaucpdt3x23WYnoQbpgrP6aJNJQ73PbuPMunTbTN9ido3zccsUuUS0oHsB4wM9yeH3Azj-c1ZW1VEzkuxgEwcVJCMoG=w408-h544-k-no,,https://www.centreaquatiquearsenal.fr/,,48.873135,2.19559
Le Palmiste Rrouge,À boire & à manger,À faire,"3 Bd Pershing, 75017 Paris",https://maps.app.goo.gl/M1ubpijAdKF7uqSR6,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHB0dg1zjJC9HRQ0Iq7uxiXP2YVlT_sjpQZOAw3C3vP1q2MKZndXpjRXHG_ZhLFMhw-E2wcoSMLllaoYbOMxdpMuY8iuojBuLXDYU6hBjNtizL-Ea6gjJBe_lEbDwd_d58vq2JTbQ=w408-h306-k-no,Restaurant réunionnais,https://menuonline.fr/lepalmisterrouge/carte-restaurant,,48.881341,2.285041
Red Poppy,À boire & à manger,À faire,"116 Rue de Tolbiac, 75013 Paris",https://maps.app.goo.gl/7izPk2vhEmm5mSkz8,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEXs4MNhZte9af7twGjmDRtmBEEEmSltcbzyYLejwPjObYacpnq_N_TmFldNPt_oRrf_Yy6dIh_-cPkSLRW7cDvNJS6bTO2gmd97aJHJZJwHgFt4I2iY9BFU7Z6B2zcw1wAjqS9=w408-h306-k-no,Bar shanghaïen caché,https://sites.google.com/view/redpoppy/cocktails-l%C3%A9gendes,,48.826358,2.360924
Le Lys d'Or,À boire & à manger,À faire,"2 Rue Chaligny, 75012 Paris",https://maps.app.goo.gl/FYdEzaoxozy2B9bQ6,https://lh3.googleusercontent.com/gps-cs-s/APNQkAG3I2tdIC2m1VmSaJR1w-P91j5GDUdBRGisFcCo-KSLjZcfYttApukskPyioOViIHGZUXj9YfKlzcUMHWaC_mOPxE7cx94g8JVrOYq82-P6xWUhabx03n-vC017FbTTvEeRJn4=w408-h277-k-no,Restaurant asiatique,https://lysdorparis.fr/accueil/,,48.845097,2.383613
Marin d'eau douce Cergy,Expériences,À faire,"Port, 6 Quai de la Tourelle, 95000 Cergy",https://maps.app.goo.gl/8T8dbpue8L1PX3PG7,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHl8IJ_fo0Lqz68c1gHjVTO_fiqYO-GS0gi1cxtRlOyUe-Jf9iQdLyGaXTqYoDSykOYR_jlC9OHEDUQggy1p3Jn-CKqsId6yn8yg06pjG1zhewZyIzS1d4M07Vm4BZwYFePAdsTCBAD0Y0=w426-h240-k-no,Location de bateaux sans permis,https://www.marindeaudouce.fr/fr,,49.031537,2.060337
Péniche L'Eau Et Les Rêves,Expériences,À faire,"9 Quai de l'Oise, 75019 Paris",https://maps.app.goo.gl/5XxLCnY8TncVaLPX8,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGo8NQsXpIGHC8qm66O0ZQu9piUWyNjDqERfGP6Ksl1UozJh99yQjDmvOWOwhT2mUSH9q0HounooeY7sCdTYF2FsfIdDCmSIiae3JzQhf0hk9WkjXFkIngWtWyZKGQdGfhhURw=w408-h272-k-no,Restaurant / Café - Librairie Botanique,http://www.penichelibrairie.com/,,48.889865,2.382138
Rose Bakery,Cul'ture,À faire,"16 Rue Chaptal, 75009 Paris",https://maps.app.goo.gl/Km18M8Dhr2unoecq9,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFNlKwFzR3BuWJL5pXABnwPZSaN1B3jqDwil2CYLj7lETqvXimzBSez7ZngBkJOuCbPn-M3C-Hgiw-PvyBIzQ0l3nQfWBwXNkjB9SKf28Zmwkh2T9A2AxAee4HSIG0PEKazG58TYQ=w408-h306-k-no,"Café Rose Bakery, Jardin du Musée de la Vie Romantique",http://museevieromantique.paris.fr/fr/salon-de-th%C3%A9,,48.881134,2.323334
Force (Tolbiac),À boire & à manger,À faire,"129bis Av. de Choisy, 75013 Paris",https://maps.app.goo.gl/wmbWur5AWsfqnod1A,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEePnpZuspw-nG1RJMJLgJ9iTZk_t0Li3RLyV_LqVjOlfRitF0iOtUGOQtbLmIXY8QDBWKTqWDHtTHGSeCjPaM3WLNXHE5jrGImgcMRFQU2fejYjT2cjvHq4tRxMvx_DBYjHcGx2KN5K4E=w408-h725-k-no,Restaurant cantonais / hongkongais,,,48.82662,2.359375
Moret-sur-Loing,Au vert,À faire,77250 Moret-Loing-et-Orvanne,https://maps.app.goo.gl/goczCxANbz6g48R5A,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFPQ_Mguo2ZbqxhsS09SoGMD1gwAYAM0KgIXEwc_zDTuHBuj3Y9Qr12CWajWeLmMxQepajlJg2H-9HRpQ4Kgxk9C10rPbKQSiDvscDBIRhodWpnYNYSIcyNIWLBPZgEwvFh_k7s=w532-h240-k-no,,,,48.373592,2.819805
